image,resistors,caps,transistors,nets,avg_pins_per_net
img6301,0,0,0,1,2
img2331,2,2,2,4,1.5
img184,0,3,2,8,1.62
img3826,2,2,1,8,1.62
img2336,0,0,6,8,1.25
img148,2,0,0,3,2
img3022,0,2,2,5,1
img177,0,0,0,16,1.25
img3821,2,0,2,5,1.4
img3479,2,2,2,4,1.75
img183,3,0,4,5,1.6
img1929,4,12,4,11,2.09
img1788,6,3,9,22,1.18
img3477,4,0,0,4,1.5
img179,4,0,0,7,1.43
img146,0,2,0,11,1.18
img112,0,2,0,4,1.5
img3047,4,2,2,6,1.5
img2353,0,0,0,0,0
img547,0,0,6,5,1.2
img3082,0,2,2,5,1.2
img124,0,3,0,6,1.17
img3071,8,14,1,11,2.36
img178,0,0,0,4,1.25
img147,0,5,7,12,1.25
img1546,0,2,0,3,1.33
img2939,0,7,3,6,1.83
img149,1,0,3,4,1.25
img176,0,0,0,9,1.22
img2364,0,0,0,0,0
img3070,0,11,4,9,2
img546,0,12,2,10,1.9
img3245,8,0,2,8,1.62
img2363,0,0,5,5,1
img3083,0,2,5,8,1.5
img1524,4,0,2,6,1.67
img1523,4,4,1,8,1.25
img1451,1,0,0,5,1.2
img2644,0,2,2,5,1.2
img253,15,0,0,16,1.62
img2643,0,10,4,11,1.55
img1469,0,1,1,3,1
img27,2,0,8,5,2.6
img2229,2,0,3,7,1.14
img1854,0,4,3,6,1.5
img231,0,11,9,12,1.83
img3532,1,5,2,10,1.3
img2621,4,3,4,8,1.75
img200,2,4,8,12,1.25
img89,6,2,3,10,1.7
img2617,4,5,4,11,1.36
img3167,2,5,3,7,1.71
img1630,0,2,5,7,1.14
img1402,0,5,9,20,1.2
img1637,6,6,8,18,1.33
img2687,2,0,3,4,1.5
img1466,0,2,4,6,1.67
img432,0,15,4,9,2.33
img1495,4,5,2,8,1.5
img3132,2,2,3,6,1.5
img2642,0,2,4,5,1.6
img2477,3,0,5,11,1
img2645,0,2,4,6,1.5
img252,10,0,0,13,1.54
img450,0,7,1,5,1.8
img206,2,14,13,15,2.07
img239,0,16,3,11,2.09
img2611,0,13,7,9,2.33
img2275,0,3,1,3,1.33
img1404,1,0,0,2,1
img88,6,2,0,9,1.78
img2629,4,3,7,10,1.5
img1403,0,8,0,7,1.71
img2616,4,1,3,10,1.5
img2881,0,0,3,3,1.67
img1607,0,0,0,5,1
img2620,4,8,4,9,2.33
img230,0,11,4,12,1.5
img1600,2,6,2,8,1.5
img2605,0,2,3,4,1.5
img4162,4,0,4,7,1.43
img1622,0,2,0,6,1.33
img1625,4,0,2,5,1.2
img2054,0,1,0,1,1
img1613,0,5,1,5,1.2
img2633,6,2,1,7,1.43
img3527,3,2,0,15,1.2
img1426,0,0,1,1,1
img1614,4,0,2,5,1.2
img224,4,3,0,9,1
img426,2,17,8,15,1.87
img1472,0,4,0,4,1.25
img277,0,15,5,10,2
img1475,0,2,0,6,1.17
img248,0,0,4,3,1.33
img3126,0,4,9,13,1.23
img428,0,18,4,22,1.32
img246,0,20,0,21,1.67
img2651,0,2,3,5,1.4
img3526,6,0,1,17,1.47
img1615,4,4,1,8,1.25
img1427,1,0,0,1,1
img2867,2,4,2,6,1.83
img4360,3,2,2,7,1
img1612,0,2,2,4,1
img3521,14,6,0,19,1.95
img2860,0,13,2,10,2.1
img2055,0,2,4,4,1.75
img1624,0,4,1,5,1.2
img1648,3,0,3,9,1.11
img247,0,0,6,6,1.17
img249,0,5,15,12,1.67
img2661,0,2,3,5,1.4
img3111,0,8,3,6,2.5
img1474,0,2,2,6,1.33
img3116,0,9,2,6,2.33
img3256,4,5,3,8,1.88
img136,0,19,8,17,1.76
img552,0,0,5,3,2.33
img2946,2,4,2,9,1.56
img3055,0,8,9,12,1.67
img2517,0,0,1,2,1
img2510,0,0,3,4,1
img138,0,0,0,8,1.62
img3052,2,18,2,12,2
img563,5,2,4,8,1.5
img1597,0,4,2,6,1.17
img1563,0,2,2,4,1.25
img3001,0,4,2,4,1.75
img1552,6,3,3,9,1.78
img3037,0,11,0,7,2
img2572,6,0,2,5,1.8
img2324,0,0,5,6,1.17
img1555,2,2,0,5,1.2
img3202,2,0,4,4,2
img139,0,3,6,12,1.67
img3096,0,7,6,9,2.11
img2520,0,0,2,4,1
img1500,4,2,0,7,1.29
img2715,8,0,6,10,1.6
img554,0,2,4,8,1.12
img164,3,2,0,6,1.5
img1554,0,2,0,6,1.17
img3203,6,3,5,10,1.8
img163,9,3,0,12,1.58
img1598,4,3,1,6,1.5
img1795,0,4,7,19,1.21
img2746,0,0,5,5,1.2
img3036,8,8,1,10,1.8
img155,0,0,0,7,1.43
img3038,0,10,2,7,2.14
img2783,0,6,3,5,2
img1596,0,2,2,4,1.25
img116,0,2,0,8,1.38
img1377,0,4,0,5,1
img1528,0,2,3,5,1.2
img127,0,2,0,6,1.5
img3086,0,17,1,17,1.71
img120,0,4,4,5,1.8
img2361,0,0,1,1,2
img2751,0,5,4,6,1.83
img1544,0,4,2,4,2
img1543,0,12,0,10,1.5
img3026,0,9,5,8,1.88
img3684,3,0,0,4,1
img1785,6,3,7,19,1.26
img187,2,2,3,6,1.5
img3019,8,6,5,12,1.67
img3825,0,4,2,7,1.29
img3489,0,0,0,5,1.6
img145,6,2,6,13,1.31
img3028,0,15,1,11,1.64
img121,0,2,6,4,2.25
img545,6,24,2,17,1.88
img3074,0,15,0,10,1.8
img3246,6,3,2,8,1.88
img126,0,2,7,7,1.43
img119,0,4,4,4,2.25
img3073,4,13,0,16,1.62
img110,4,0,0,10,1.1
img1376,0,1,0,2,1
img3045,0,15,1,15,1.53
img1527,4,0,2,7,1
img2356,3,6,1,4,2.5
img3016,0,8,4,8,1.88
img4668,1,1,0,5,1.6
img144,6,0,0,10,1.3
img2333,0,0,1,2,1.5
img1589,6,3,0,10,1.4
img1545,0,15,0,11,1.45
img3020,0,12,2,10,1.6
img2334,0,0,5,6,1.5
img1783,6,14,8,25,1.44
img2750,0,7,3,7,1.71
img181,7,2,0,6,2.33
img3199,14,22,0,25,2
img83,7,4,0,11,1.73
img2884,0,4,3,6,1.83
img3538,19,0,0,16,1.69
img204,2,18,3,11,2.55
img3163,0,2,4,6,1.5
img2613,4,0,3,6,1.33
img2045,0,3,3,9,1
img2614,4,2,2,5,1.8
img3302,0,10,5,9,2
img2647,0,6,6,7,2.14
img250,0,0,0,3,1.33
img2678,0,0,4,5,1.2
img1464,1,8,0,5,2
img292,6,0,2,7,1.14
img430,0,32,5,22,1.86
img3106,3,6,6,11,1.73
img1463,2,5,0,5,1.8
img2649,0,2,3,5,1.4
img3139,4,31,3,25,1.96
img205,3,6,13,14,1.71
img2612,0,1,4,6,1
img2276,2,1,0,4,1
img3196,2,9,2,15,1.6
img233,6,0,8,15,1.27
img2624,4,2,5,9,1.33
img1431,0,2,0,3,1
img2882,0,1,3,4,1.5
img234,0,14,4,14,1.64
img82,6,2,0,11,1.45
img2623,2,4,4,6,1.83
img1496,2,3,0,7,1.71
img25,0,0,2,1,2
img1465,0,3,3,5,1.6
img2825,4,7,2,8,2
img3769,0,2,4,6,1.83
img3304,0,8,0,6,2.67
img2679,0,0,4,4,1.75
img251,4,0,0,6,1.17
img1834,2,6,2,7,1.71
img1449,0,4,0,4,1.25
img422,0,13,8,14,1.57
img1476,2,2,0,6,1.5
img2451,0,0,2,1,2
img1482,0,4,2,6,1.5
img2664,0,2,4,5,1.4
img1471,0,0,0,4,1
img1478,0,2,3,5,1.4
img2652,0,4,3,5,1.8
img5013,2,1,0,5,1.4
img6034,0,0,6,7,1.14
img3328,4,6,2,13,1.62
img5689,5,0,3,8,1.25
img242,0,14,2,11,1.64
img3541,7,4,0,23,1.26
img1414,2,0,0,3,1.33
img1626,2,5,2,7,1.57
img2057,0,0,2,3,1
img827,2,0,0,3,1
img229,0,2,5,5,2
img440,0,6,0,11,1.27
img2606,0,2,5,5,1.6
img3182,2,7,2,10,1.8
img1621,4,4,0,8,1.5
img2630,0,3,4,5,1.6
img1617,2,6,1,6,2
img1628,6,0,0,9,1.44
img1422,0,0,2,3,1
img1610,0,6,0,3,2
img243,0,24,0,19,1.32
img5688,0,0,1,2,1
img1479,0,5,2,5,2.2
img244,0,17,3,17,1.76
img3318,0,0,2,3,1
img2691,0,5,3,6,3.17
img5818,2,0,1,5,1.6
img2665,0,4,4,4,2.5
img275,0,20,0,10,2.1
img1483,0,4,1,5,1.2
img1477,0,2,2,4,1.5
img3576,8,0,0,10,1.4
img4561,2,0,5,7,1.29
img2609,0,5,4,8,1.25
img1616,2,0,2,4,1.5
img2631,0,7,3,5,2.2
img1412,0,0,0,0,0
img1620,0,2,0,5,1.2
img446,0,19,0,10,2.2
img3184,0,10,1,9,1.89
img2056,0,2,1,4,1.5
img1627,0,2,0,6,1.33
img441,0,12,5,10,1.7
img1618,2,4,2,6,1.83
img157,6,0,0,13,1.92
img150,5,0,0,6,1.5
img3495,0,2,0,7,1.14
img1560,2,3,3,8,1.38
img159,2,0,7,7,1.71
img2571,4,0,3,6,1.33
img2743,0,6,3,6,2
img3033,0,4,3,8,1.12
img161,1,6,7,11,1.73
img2744,2,2,4,5,1.8
img2576,4,2,2,9,1.89
img1505,0,10,0,18,1.11
img3060,5,2,0,7,1.57
img2710,0,2,3,5,1.4
img1398,0,4,0,4,1.5
img3299,0,8,3,8,1.75
img3067,0,7,5,9,1.67
img6388,4,8,4,12,1.33
img2721,2,0,4,5,1.6
img1706,5,4,2,9,2
img567,0,4,15,14,1.36
img160,4,0,0,9,1.56
img3238,0,15,2,8,2.38
img2321,0,1,2,3,1
img2577,4,2,2,8,1.62
img2583,4,2,2,10,1.8
img3032,0,4,2,6,1.33
img1557,2,2,0,9,1.22
img2742,0,4,3,5,1.6
img1791,6,12,10,31,1.39
img2326,0,0,2,2,1.5
img1906,0,2,2,4,1.25
img151,5,0,3,6,1.5
img1561,0,2,2,4,1.25
img156,3,0,8,7,1.71
img169,9,17,5,20,1.85
img1592,6,7,1,9,1.78
img3057,0,8,2,7,1.71
img3050,2,7,4,7,2.14
img2512,0,2,2,5,1
img3061,0,21,1,21,1.38
img2944,2,6,3,9,1.78
